"IDinventario","Nombre","Fecha y hora","Tipo","Total","Descuento","createdAt","updatedAt"
"7204c91c","Dulces","2025-09-20 10:16:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"72de184b","Vasos","2025-11-14 14:47:00","SALIDAS","$0.00","$0.00",NULL,NULL
"72ea77f4","Dulces","2024-12-22 11:51:00","ENTRADAS","$239,400.00","$400.00",NULL,NULL
"73e7cd2e","Mezclas","2025-02-05 14:41:00","SALIDAS","$0.00","$0.00",NULL,NULL
"74d19063","Mezclas","2025-09-07 11:54:00","SALIDAS","$0.00","$0.00",NULL,NULL
"74f4d931","Mezclas","2025-10-23 17:17:00","SALIDAS","$0.00","$0.00",NULL,NULL
"752320c4","Mezclas","2025-03-02 13:15:00","SALIDAS","$0.00","$0.00",NULL,NULL
"7579cf20","Insumos","2025-11-01 13:32:00","SALIDAS","$0.00","$0.00",NULL,NULL
"765f4d58","Mezclas","2024-12-29 13:47:00","SALIDAS","$0.00","$0.00",NULL,NULL
"76813c2b","Mezclas que ya no hay","2025-05-12 10:07:00","SALIDAS","$0.00","$0.00",NULL,NULL
"7766a25a","Mezclas","2026-01-10 13:53:00","SALIDAS","$0.00","$0.00",NULL,NULL
"777522ed","Mezclas","2025-03-23 13:11:00","SALIDAS","$0.00","$0.00",NULL,NULL
"777b343c","Mezclas","2025-08-23 14:26:00","SALIDAS","$0.00","$0.00",NULL,NULL
"77b402c7","Mezclas","2025-02-07 14:11:00","SALIDAS","$0.00","$0.00",NULL,NULL
"77bb7919","Mezclas","2025-09-25 13:32:00","SALIDAS","$0.00","$0.00",NULL,NULL
"77cf9d28","Mezclas que no hay","2025-06-09 11:53:00","SALIDAS","$0.00","$0.00",NULL,NULL
"77e5ac38","Vasos","2024-12-13 08:53:00","ENTRADAS","$0.00","$0.00",NULL,NULL
"78b2b1da","Mezclas","2025-07-13 13:28:00","SALIDAS","$0.00","$0.00",NULL,NULL
"7900a9dd","Vasos","2025-02-12 14:50:00","ENTRADAS","$59,800.00","$200.00",NULL,NULL
