"IDalimentos","Categoria","Nombre","Unidades","Cantidad","imagen","fecha de vencimiento","NombreCategoria","Precio","Total","Agregar Cantidad","Fecha","Descontar cant de ventas?","Notificar a whatsapp","apartir de cantidad","Enviar si o no","Disponible","Contador","Image Url","Llevar control en caja","Contador 2","imagencard","createdAt","updatedAt"
"5539a668","d30a10d9","Extra shot Tequila 500ml","BOLSA X500mL",3,"INSUMOS_Images/5539a668.imagen.140623.jpg",NULL,NULL,"$15,000.00","$45,000.00",1,"2025-02-11","NO","NO",NULL,"NO ENVIAR","Disponible: 3",2,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/5539a668.imagen.140623.jpg",NULL,NULL,NULL,NULL,NULL
"566db5ad","d30a10d9","Barquillo Vainilla","25 Unidades",4,"",NULL,NULL,"$13,100.00","$52,400.00",NULL,"2025-04-26","NO","NO",NULL,"NO ENVIAR","Disponible: 2",NULL,"","NO",3,NULL,NULL,NULL
"580d609c","0d04f633","Frutal maracupiña","BOLSA DE 3100 GR",6,"",NULL,NULL,"$34,560.00","$207,360.00",NULL,"2025-05-09","NO","NO",1,"NO ENVIAR","Disponible: 2",NULL,"","NO",2,NULL,NULL,NULL
"5e6f4f63","0d04f632","Four loko pink","TARRO 6L",49,"",NULL,NULL,"$32,000.00","$1,568,000.00",NULL,"2025-12-25","NO","NO",2,"NO ENVIAR","Disponible: 10",5,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=","NO",4,NULL,NULL,NULL
"63203842","d30a10d9","Cintas Acidas Fini x 260","x260 unidades",57,"",NULL,NULL,"$46,250.00","$2,497,500.00",NULL,"2026-01-09","NO","NO",NULL,"NO ENVIAR","Disponible: 4",NULL,NULL,"NO",NULL,"",NULL,NULL
"66abe153","d30a10d9","Chantilly","Tarro de 50 gr",6,"",NULL,NULL,"$10,850.00","$65,100.00",NULL,"2025-11-30","NO","NO",1,"ENVIAR","Disponible: 0",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"6d6aaa79","d30a10d9","Cereza Perlas explosivas 480g","480 gr",1,"INSUMOS_Images/6d6aaa79.imagen.140510.jpg",NULL,NULL,"$15,300.00","$15,300.00",1,"2025-02-11","NO","NO",2,"ENVIAR","Disponible: 0",2,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=INSUMOS_Images/6d6aaa79.imagen.140510.jpg",NULL,1,NULL,NULL,NULL
"738813f5","0d04f633","Frutal limonada de sandia","BOLSA DE 3100 GR",4,"",NULL,NULL,"$34,560.00","$138,240.00",NULL,"2025-05-08","NO","NO",NULL,"NO ENVIAR","Disponible: 2",NULL,NULL,"NO",NULL,NULL,NULL,NULL
"74732c3e","4ff5b09a","Tapas x 100 12 onz","Bolsa X100",3,"",NULL,NULL,"$29,000.00","$87,000.00",NULL,"2025-12-18","NO","NO",NULL,"NO ENVIAR","Disponible: 1",NULL,NULL,"NO",NULL,"",NULL,NULL
"7484d92f","d30a10d9","Glaseado de mango","BOLSA X250g",6,"",NULL,NULL,"$9,000.00","$54,000.00",NULL,"2025-12-27","NO","NO",NULL,"NO ENVIAR","Disponible: 2",1,"https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=INSUMOS&fileName=",NULL,NULL,NULL,NULL,NULL
