IDorderventas;IDventas;Categoria;Nombre;Cantidad;Precio;Precio total;Estado;Comentarios;Imagen;fecha;SALSA;HELADO;TOPINGS;CategoriaProducto;ImagenUrl;NombreProducto;createdAt;productoId;updatedAt;usuarioId
cmonjmyzl00071vdagzww19hs;cmonjmydk00051vda7vizd2df;LO MAS VENDIDO;Normal 12 Onz Con licor;4;$12,000.00;$48,000.00;TOMADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmonjodre000b1vdaswfv1ykq;cmonjod5700091vda6t2jl933;LO MAS VENDIDO;Normal 12 Onz Con licor;4;$12,000.00;$48,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmonjodww000d1vdaoz1z5n1j;cmonjod5700091vda6t2jl933;CREMOSOS;Cremoso 13 Onz;1;$14,000.00;$14,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;CREMOSOS;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc13.Image.145144.png;Cremoso 13 Onz;NULL;9f390fc13;NULL;cmom4whz80000k0qnjs8qb3sc
cmonjsidj000i1vda2cyqcpwt;cmonjshrd000f1vda1c20ro7b;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmonjsidj000j1vdalz84l8k7;cmonjshrd000f1vda1c20ro7b;LO MAS VENDIDO;Shot de tequila;1;$5,000.00;$5,000.00;PAGADO;NULL;NULL;1/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/8a734bcd.Image.232649.jpg;Shot de tequila;NULL;8a734bcd;NULL;cmom4whz80000k0qnjs8qb3sc
cmonkv23l0003gpmo4l2y9eng;cmonkv1he0001gpmoywv7839x;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmonkyrgm0007gpmogd8zcujj;cmonkyqul0005gpmo5bzwgi6k;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;PAGADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmonlq4j2000bgpmo9fri1gnj;cmonlq3wz0009gpmob31wqevb;LO MAS VENDIDO;Shot de tequila;1;$5,000.00;$5,000.00;TOMADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/8a734bcd.Image.232649.jpg;Shot de tequila;NULL;8a734bcd;NULL;cmom4whz80000k0qnjs8qb3sc
cmonoqjm500032x79n28a381v;cmonoqizz00012x79rjim1i4e;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
cmonot7ch00092x79umf6h4qy;cmonot6q900072x79mfzycug9;LO MAS VENDIDO;Normal 12 Onz Con licor;1;$12,000.00;$12,000.00;TOMADO;NULL;NULL;2/05/2026;NULL;NULL;NULL;LO MAS VENDIDO;https://www.appsheet.com/template/gettablefileurl?appName=QHuboMor-7868274&tableName=PRODUCTOS&fileName=PRODUCTOS_Images/9f390fc10.Image.145058.png;Normal 12 Onz Con licor;NULL;9f390fc10;NULL;cmom4whz80000k0qnjs8qb3sc
